,species_number,common_name,kingdom,family
96,100,White Crappie,Animalia,Centrarchidae
97,101,Flagfish,Animalia,Cyprinodontidae
98,102,Red Swamp Crayfish,Animalia,Cambaridae
99,103,Mud Crab,Animalia,Panopeidae
100,104,Midge,Animalia,Chironomidae
101,105,Eastern Mudminnow,Animalia,Umbridae
102,106,Smallmouth Bass,Animalia,Centrarchidae
103,107,Spottail Shiner,Animalia,Cyprinidae
104,108,Caddisfly,Animalia,Hydropsychidae
105,109,Japanese Medaka,Animalia,Adrianichthyidae
106,110,Spot,Animalia,Sciaenidae
107,111,Pewter Physa. Snail,Animalia,Physidae
108,112,Golden Shiner,Animalia,Cyprinidae
109,113,Walking Catfish,Animalia,Clariidae
110,114,Rotifer,Animalia,Philodinidae
111,115,Oligochaete,Animalia,Naididae
112,116,Spire Snail,Animalia,Hydrobiidae
113,117,Pouch Snail,Animalia,Physidae
114,118,Scud. Amphipod,Animalia,Gammaridae
115,119,Mayfly,Animalia,Ephemerellidae
116,120,Scud Family,Animalia,Talitridae
117,121,Hydroid,Animalia,Campanulariidae
118,122,Midge,Animalia,Chironomidae
119,123,Northern Squawfish,Animalia,Cyprinidae
120,124,Banded Killifish,Animalia,Cyprinodontidae
121,125,White Perch,Animalia,Moronidae
122,126,Pumpkinseed,Animalia,Centrarchidae
123,127,American Eel,Animalia,Anguillidae
124,128,Tilapia,Animalia,Cichlidae
125,129,Plaice. Sand Dab,Animalia,Pleuronectidae
126,130,Starry. European Flounder,Animalia,Pleuronectidae
127,131,Northern Pike,Animalia,Esocidae
128,132,Mud Dab,Animalia,Pleuronectidae
129,133,Black Bullhead,Animalia,Ictaluridae
130,134,Mozambique Tilapia,Animalia,Cichlidae
131,135,Desert Pupfish,Animalia,Cyprinodontidae
132,136,Florida Pompano,Animalia,Carangidae
133,137,Tilapia,Animalia,Cichlidae
134,138,Tilapia,Animalia,Cichlidae
135,139,Dolly Varden,Animalia,Salmonidae
136,140,Shiner Perch,Animalia,Embiotocidae
137,141,Dwarf Perch,Animalia,Embiotocidae
138,142,Opossum Shrimp,Animalia,Mysidae
139,143,Emerald Shiner,Animalia,Cyprinidae
140,144,American Shad,Animalia,Clupeidae
141,145,Scud,Animalia,Hyalidae
142,146,Ide. Silver Or Golden Orfe,Animalia,Cyprinidae
143,147,Green Algae,Plantae,Zygnemataceae
144,148,Rotifer Phylum,Animalia,
145,149,Bay Shrimp,Animalia,Crangonidae
146,150,Thick-Lipped Grey Mullet,Animalia,Mugilidae
147,152,Cyclopoid Copepod,Animalia,Cyclopidae
148,153,Caddisfly,Animalia,Leptoceridae
149,154,Caddisfly,Animalia,Phryganeidae
150,155,Caddisfly,Animalia,Limnephilidae
151,156,Mayfly,Animalia,Baetidae
152,157,Mayfly,Animalia,Baetidae
153,158,Mayfly,Animalia,Siphlonuridae
154,159,Stonefly,Animalia,Nemouridae
155,160,Water Beetle,Animalia,Dytiscidae
156,161,Beetle,Animalia,Dytiscidae
157,162,Beetle,Animalia,Dytiscidae
158,163,White-Legged Damselfly,Animalia,Platycnemididae
159,164,Damselfly,Animalia,Coenagrionidae
160,165,Damselfly,Animalia,Lestidae
161,166,Blue-Green Dragonfly,Animalia,Aeshnidae
162,167,Dragonfly,Animalia,Libellulidae
163,168,Blackfly,Animalia,Simuliidae
164,169,Water Flea,Animalia,Sididae
165,170,Water Flea,Animalia,Daphniidae
166,171,Water Flea,Animalia,Chydoridae
167,172,Water Flea,Animalia,Bosminidae
168,173,Water Flea,Animalia,Daphniidae
169,174,Clam Shrimp,Animalia,Lynceidae
170,175,Mosquito,Animalia,Culicidae
171,176,Phantom Midge,Animalia,Chaoboridae
172,177,Phantom Midge,Animalia,Chaoboridae
173,178,Midge,Animalia,Chironomidae
174,179,Mosquito,Animalia,Culicidae
175,180,Phantom Midge,Animalia,Chaoboridae
176,181,Pile Perch,Animalia,Embiotocidae
177,182,Water Bug,Animalia,Corixidae
178,183,Water Strider,Animalia,Gerridae
179,184,Midge,Animalia,Chironomidae
180,185,Midge,Animalia,Chironomidae
181,186,Tipulid Fly,Animalia,Tipulidae
182,187,Flower Fly,Animalia,Syrphidae
183,188,Backswimmer,Animalia,Notonectidae
184,189,Waterbug,Animalia,Naucoridae
185,190,Beetle,Animalia,Haliplidae
186,191,Water Scavenger Beetle,Animalia,Hydrophilidae
187,192,Beetle,Animalia,Gyrinidae
188,193,Water Beetle,Animalia,Dytiscidae
189,194,Water Mite,Animalia,Limnesiidae
190,195,Chiselmouth,Animalia,Cyprinidae
191,196,Bluntnose Minnow,Animalia,Cyprinidae
192,197,Water Mite,Animalia,Hygrobatidae
193,198,Water Mite,Animalia,Hydrachnidae
194,199,Mud Snail,Animalia,Viviparidae
195,200,Water Mite,Animalia,Limnesiidae
196,201,Grass Carp,Animalia,Cyprinidae
197,202,Rohu,Animalia,Cyprinidae
198,203,Dinoflagellate,Chromista,Gonyaulacaceae
199,204,Isopod,Animalia,Cirolanidae
200,205,Blue-Green Algae,Monera,Oscillatoriaceae
201,206,African Clawed Frog,Animalia,Pipidae
202,207,Sea Urchin,Animalia,Echinometridae
203,208,Common Bay Mussel.Blue Mussel,Animalia,Mytilidae
204,209,Turbellarian. Flatworm,Animalia,Planariidae
205,210,Northern House Mosquito,Animalia,Culicidae
206,211,Bleak,Animalia,Cyprinidae
207,212,Harpacticoid Copepod,Animalia,Ameiridae
208,213,Crab,Animalia,Parathelphusidae
209,214,Barnacle,Animalia,Balanidae
210,216,Caddisfly,Animalia,Rhyacophilidae
211,217,Water Mite,Animalia,Eylaidae
212,218,Zebra Mussel,Animalia,Dreissenidae
213,219,Pink Salmon,Animalia,Salmonidae
214,220,Shrimp,Animalia,Hippolytidae
215,221,Humpy Shrimp,Animalia,Pandalidae
216,222,Cyclopoid Copepod,Animalia,Cyclopidae
217,223,Caddisfly,Animalia,Hydropsychidae
218,224,Polychaete Worm,Animalia,Nereididae
219,225,Mayfly,Animalia,Ephemerellidae
220,226,Opossum Shrimp,Animalia,Mysidae
221,227,Caddisfly,Animalia,Hydropsychidae
222,228,Blackfly,Animalia,Simuliidae
223,229,Blue-Green Algae,Monera,Nostocaceae
224,230,Yellow Fever Mosquito,Animalia,Culicidae
225,231,Rotifer,Animalia,Philodinidae
226,232,Fresh-Water Mussel,Animalia,Unionidae
227,233,Tubificid Worm. Oligochaete,Animalia,Tubificidae
228,234,Mussel,Animalia,Unionidae
229,235,Brown Mystery Snail,Animalia,Viviparidae
230,236,Flatly Coiled Gyraulus,Animalia,Planorbidae
231,237,Marsh Snail,Animalia,Lymnaeidae
232,238,Mosquito,Animalia,Culicidae
233,239,Pouch Snail,Animalia,Physidae
234,240,Water Flea,Animalia,Daphniidae
235,241,Water Flea,Animalia,Daphniidae
236,242,Copepod Subclass,Animalia,
237,243,Aquatic Sowbug,Animalia,Asellidae
238,244,Mussel,Animalia,Unionidae
239,245,European Fingernail Clam,Animalia,Pisidiidae
240,246,Ditch Fencing Crayfish,Animalia,Cambaridae
241,247,Crayfish,Animalia,Cambaridae
242,248,Rusty Crayfish,Animalia,Cambaridae
243,249,Shrimp,Animalia,Callianassidae
244,250,Mayfly,Animalia,Ephemerellidae
245,251,Mayfly,Animalia,Ephemeridae
246,252,Jumbo Tiger Prawn,Animalia,Penaeidae
247,253,Stonefly,Animalia,Perlidae
248,254,Damselfly,Animalia,Coenagrionidae
249,255,Damselfly,Animalia,Coenagrionidae
250,256,Midge Family,Animalia,Chironomidae
251,257,Caddisfly,Animalia,Limnephilidae
252,258,Caddisfly,Animalia,Hydropsychidae
253,259,Caddisfly Order,Animalia,
254,260,Alewife,Animalia,Clupeidae
255,261,Gizzard Shad,Animalia,Clupeidae
256,262,Cisco. Lake Herring,Animalia,Salmonidae
257,263,Lake Whitefish,Animalia,Salmonidae
258,264,Bloater,Animalia,Salmonidae
259,265,Deepwater Cisco,Animalia,Salmonidae
260,266,Kiyi,Animalia,Salmonidae
261,267,Cisco. Whitefish,Animalia,Salmonidae
262,268,Round Whitefish,Animalia,Salmonidae
263,269,Damselfly Order,Animalia,
264,270,Rainbow Smelt,Animalia,Osmeridae
265,271,Mottled Sculpin,Animalia,Cottidae
266,272,Slimy Sculpin,Animalia,Cottidae
267,273,Fourhorn Sculpin,Animalia,Cottidae
268,274,Longfin Dace,Animalia,Cyprinidae
269,275,Central Stoneroller,Animalia,Cyprinidae
270,276,Striped Shiner,Animalia,Cyprinidae
271,277,Northern Redbelly Dace,Animalia,Cyprinidae
272,278,Harpacticoid Copepod,Animalia,Canthocamptidae
273,279,Blacknose Dace,Animalia,Cyprinidae
274,280,Speckled Dace,Animalia,Cyprinidae
275,281,Copepod Order,Animalia,
276,282,White. Longnose Sucker,Animalia,Catostomidae
277,283,White Sucker,Animalia,Catostomidae
278,284,Redhorse. Sucker,Animalia,Catostomidae
279,285,Aquatic Moss,Plantae,Brachytheciaceae
280,286,Burbot,Animalia,Gadidae
281,287,Southern Platyfish,Animalia,Poeciliidae
282,288,Brook Stickleback,Animalia,Gasterosteidae
283,289,Rock Bass,Animalia,Centrarchidae
284,290,Longear Sunfish,Animalia,Centrarchidae
285,291,Black Crappie,Animalia,Centrarchidae
286,292,Rainbow Darter,Animalia,Percidae
287,293,Orangethroat Darter,Animalia,Percidae
288,294,Great Pond Snail,Animalia,Lymnaeidae
289,295,Freshwater Drum,Animalia,Sciaenidae
290,297,River Snail,Animalia,Viviparidae
291,298,Green Algae,Plantae,Dunaliellaceae
292,299,Diatom,Chromista,Thalassiosiraceae
293,300,Green Algae,Plantae,Chlorococcaceae
294,301,Diatom,Chromista,Bacillariaceae
295,302,Daggerblade Grass Shrimp,Animalia,Palaemonidae
296,303,Cryptomonad,Plantae,Cryptomonadaceae
297,304,Balthica Macoma Or Clam,Animalia,Tellinidae
298,305,Golden-brown Algae,Chromista,Synuraceae
299,306,Murex,Animalia,Muricidae
300,307,Hermit Crab,Animalia,Paguridae
301,308,Striped Catfish,Animalia,Bagridae
302,309,Diatom,Chromista,Skeletonemaceae
303,310,Diatom,Chromista,Bacillariaceae
304,311,Green Algae,Plantae,Oocystaceae
305,312,Green Algae,Plantae,Chlorococcaceae
306,313,Diatom,Chromista,Naviculaceae
307,314,Red Algae,Plantae,Porphyridiaceae
308,315,Water Mite,Animalia,Pionidae
309,316,Barb,Animalia,Cyprinidae
310,317,Diatom,Chromista,Fragilariaceae
311,318,Green Algae,Plantae,Chlamydomonadaceae
312,319,Water Mite,Animalia,Pionidae
313,320,Water Mite,Animalia,Hydryphantidae
314,321,Water Mite,Animalia,Limnocharidae
315,322,Water Mite,Animalia,Mideopsidae
316,323,Water Mite,Animalia,Arrenuridae
317,324,Prasinophyte,Plantae,Chlorodendraceae
318,325,Coccolithophorid,Chromista,Coccolithaceae
319,326,Haptophyte,Chromista,Isochrysidaceae
320,327,Green Algae,Plantae,Prasiolaceae
321,328,Yellow Green Algae,Chromista,Monodopsidaceae
322,330,Diatom,Chromista,Phaeodactylaceae
323,331,Diatom,Chromista,Thalassiosiraceae
324,332,Diatom,Chromista,Thalassiosiraceae
325,333,Diatom,Chromista,Bellerocheaceae
326,334,Cryptomonad,Plantae,Cryptomonadaceae
327,335,Cryptomonad,Plantae,Cryptomonadaceae
328,336,Dinoflagellate,Chromista,Gymnodiniaceae
329,337,Blue-Green Algae,Monera,Chroococcaceae
330,338,Blue-Green Algae,Monera,Chroococcaceae
331,339,Dungeness Or Edible Crab,Animalia,Cancridae
332,340,Water Mite,Animalia,Hydrodromidae
333,341,Inland Silverside,Animalia,Atherinidae
334,342,Beetle,Animalia,Dytiscidae
335,343,Scud,Animalia,Gammaridae
336,344,Flat. Native European Oyster,Animalia,Ostreidae
337,345,Rotifer,Animalia,Brachionidae
338,346,American Lobster,Animalia,Nephropidae
339,347,Bay Shrimp. Sand Shrimp,Animalia,Crangonidae
340,348,Snail,Animalia,Physidae
341,349,Sand Gaper. Soft Shell Clam,Animalia,Myidae
342,350,Caddisfly,Animalia,Limnephilidae
343,351,Climbing Perch,Animalia,Anabantidae
344,352,Indian Catfish,Animalia,Heteropneustidae
345,353,Motsuga. Stone Moroko,Animalia,Cyprinidae
346,354,Green Algae,Plantae,Chlorococcaceae
347,355,Crested Newt,Animalia,Salamandridae
348,356,Australian Barnacle,Animalia,Balanidae
349,357,Frog,Animalia,Microhylidae
350,358,Leopard Frog,Animalia,Ranidae
351,360,Caddisfly,Animalia,Hydropsychidae
352,361,Crayfish,Animalia,Cambaridae
353,362,Mayfly,Animalia,Heptageniidae
354,363,Squid,Animalia,Loliginidae
355,365,Sea Bass,Animalia,Moronidae
356,366,Brine Shrimp,Animalia,Artemiidae
357,367,Damselfly,Animalia,Coenagrionidae
358,368,Indian Bullfrog,Animalia,Ranidae
359,370,Green Algae,Plantae,Chlamydomonadaceae
360,371,Killifish. Topminnow Family,Animalia,Cyprinodontidae
361,372,Scud,Animalia,Gammaridae
362,373,Water Spider,Animalia,Argyronetidae
363,374,Lamp-Mussel,Animalia,Unionidae
364,375,Atlantic Silverside,Animalia,Atherinidae
365,376,Calanoid Copepod,Animalia,Acartiidae
366,377,Mayfly,Animalia,Ephemeridae
367,379,Calanoid Copepod,Animalia,Diaptomidae
368,380,Aquatic Sowbug,Animalia,Chaetiliidae
369,381,Hydra,Animalia,Hydridae
370,382,Scud,Animalia,Gammaridae
371,383,Minnow,Animalia,Cyprinidae
372,384,Cyclopoid Copepod,Animalia,Cyclopidae
373,385,Mediterranean Mussel,Animalia,Mytilidae
374,386,Milkfish. Salmon-Herring,Animalia,Chanidae
375,387,Sand Shrimp,Animalia,Penaeidae
376,388,Kuruma Shrimp,Animalia,Penaeidae
377,389,Horseshoe Crab,Animalia,Limulidae
378,390,Fish Louse,Animalia,Argulidae
379,391,Japanese Eel,Animalia,Anguillidae
380,393,Shrimp,Animalia,Atyidae
381,394,Polychaete,Animalia,Nereididae
382,395,Horn Shell,Animalia,Potamididae
383,396,Blue-Green Algae,Monera,Oscillatoriaceae
384,397,Southern House Mosquito,Animalia,Culicidae
385,398,Phantom Midge,Animalia,Chaoboridae
386,399,Mayfly,Animalia,Baetidae
387,400,Arctic Grayling,Animalia,Salmonidae
388,401,Bent-Nosed Clam,Animalia,Tellinidae
389,402,Aquatic Sowbug,Animalia,Idoteidae
390,403,Eastern Lampmussel,Animalia,Unionidae
391,404,Blue-Green Algae,Monera,Oscillatoriaceae
392,406,White River Crayfish,Animalia,Cambaridae
393,407,Asiatic Knifefish,Animalia,Notopteridae
394,408,Marine Sowbug,Animalia,Cirolanidae
395,409,Longnose Killifish,Animalia,Cyprinodontidae
396,410,Ciliate,Animalia,Tetrahymenidae
397,411,Calanoid Copepod,Animalia,Calanidae
398,412,Green Algae,Plantae,Oedogoniaceae
399,413,Ramshorn Snail,Animalia,Planorbidae
400,414,Floater. Mussel,Animalia,Unionidae
401,415,Bivalve,Animalia,Unionidae
402,416,Mud Crab,Animalia,Xanthidae
403,417,Diatom,Chromista,Melosiraceae
404,418,Snake-Head Catfish,Animalia,Channidae
405,419,Aquatic Sowbug,Animalia,Asellidae
406,420,Mussel,Animalia,Mytilidae
407,421,Brine Shrimp,Animalia,Artemiidae
408,422,Carp. Hawk Fish,Animalia,Cyprinidae
409,423,Atlantic Menhaden,Animalia,Clupeidae
410,424,Aquatic Sowbug,Animalia,Asellidae
411,425,Minnow.Carp Family,Animalia,Cyprinidae
412,426,Green Algae,Plantae,Oocystaceae
413,427,Scud,Animalia,Gammaridae
414,428,Blue-Green Algae,Monera,Chroococcaceae
415,429,Polychaete,Animalia,Nerillidae
416,430,Flagellate Euglenoid,Plantae,Euglenaceae
417,431,Ciliate,Animalia,Parameciidae
418,432,Giant Danio,Animalia,Cyprinidae
419,433,Gulf Killifish,Animalia,Cyprinodontidae
420,434,Green Algae,Plantae,Dictyosphaeriaceae
421,436,Mysid. Opossum Shrimp,Animalia,Mysidae
422,437,Diatom,Chromista,Aulacoseiraceae
423,438,Chrysophyte,Chromista,Ochromonadaceae
424,439,Calanoid Copepod,Animalia,Calanidae
425,440,Calanoid Copepod,Animalia,Metridinidae
426,441,Krill,Animalia,Euphausiidae
427,442,Comb-Jelly,Animalia,Pleurobrachiidae
428,443,Jellyfish,Animalia,Campanulariidae
429,444,Dragonfly,Animalia,Libellulidae
430,445,Agohaze. Goby,Animalia,Gobiidae
431,446,Damselfly,Animalia,Calopterygidae
432,447,Chiton,Animalia,Ischnochitonidae
433,448,Bryozoan,Animalia,Plumatellidae
434,449,Bryozoa,Animalia,Plumatellidae
435,450,Bryozoa,Animalia,Lophopodidae
436,451,Danio,Animalia,Cyprinidae
437,452,Crayfish,Animalia,Cambaridae
438,453,Green Algae,Plantae,Volvocaceae
439,454,Green Algae,Plantae,Volvocaceae
440,455,Loach,Animalia,Cobitidae
441,456,Saw-Grass,Plantae,Cyperaceae
442,458,Killifish,Animalia,Cyprinodontidae
443,459,Dragonfly,Animalia,Corduliidae
444,460,Water Strider,Animalia,Gerridae
445,461,Whirligig Beetle,Animalia,Gyrinidae
446,463,Scud,Animalia,Gammaridae
447,464,Green Algae,Plantae,Dunaliellaceae
448,465,Black Tetra. Blackamoor,Animalia,Characidae
449,466,Common Shiner,Animalia,Cyprinidae
450,467,Spotfin Shiner,Animalia,Cyprinidae
451,468,White Bass,Animalia,Moronidae
452,469,Sauger,Animalia,Percidae
453,470,Green Algae,Plantae,Oocystaceae
454,471,Blue-Green Algae,Monera,Nostocaceae
455,472,Green Algae,Plantae,Dunaliellaceae
456,473,Chrysophyte,Chromista,Ochromonadaceae
457,474,Snail,Animalia,Pleuroceridae
458,475,Trout. Charr,Animalia,Salmonidae
459,476,Diatom,Chromista,Bacillariaceae
460,477,Diatom,Chromista,Chaetocerotaceae
461,478,Gray Tree Frog,Animalia,Hylidae
462,479,Green Algae,Plantae,Oocystaceae
463,480,Swan Mussel,Animalia,Unionidae
464,481,Common Spiny Loach,Animalia,Cobitidae
465,482,Algae,Plantae,
466,483,Phantom Midge,Animalia,Chaoboridae
467,484,Ciliate,Animalia,Tetrahymenidae
468,485,Nile Tilapia,Animalia,Cichlidae
469,486,Green Algae,Plantae,Scenedesmaceae
470,487,Green Algae,Plantae,Scenedesmaceae
471,488,Invertebrates,Animalia,
472,489,Common Starfish,Animalia,Asteriidae
473,490,Longwrist Hermit Crab,Animalia,Paguridae
474,491,Scup,Animalia,Sparidae
475,492,Eastern Mud Snail,Animalia,Nassariidae
476,493,Tilapia,Animalia,Cichlidae
477,494,Snail,Animalia,Planorbidae
478,495,Snail,Animalia,Bullinidae
479,496,Liver Elimia. River Snail,Animalia,Pleuroceridae
480,497,Green Algae,Plantae,Oocystaceae
481,498,Blue-Green Algae,Monera,Oscillatoriaceae
482,499,Sheepshead,Animalia,Sparidae
483,500,Ostracod,Animalia,Cyprididae
484,502,Curled Pondweed,Plantae,Potamogetonaceae
485,503,Pondweed,Plantae,Potamogetonaceae
486,504,Water-Milfoil,Plantae,Haloragaceae
487,505,Bur-Reed,Plantae,Sparganiaceae
488,507,Duckweed,Plantae,Lemnaceae
489,508,Coon-Tail,Plantae,Ceratophyllaceae
490,509,Green Algae,Plantae,Cladophoraceae
491,510,Common Bladderwort,Plantae,Lentibulariaceae
492,511,Butterfish. Whitefish,Animalia,Lactariidae
493,512,Red Leech,Animalia,Erpobdellidae
494,513,Crayfish,Animalia,Cambaridae
495,514,Orb Snail Family,Animalia,Planorbidae
496,515,Backswimmer Family,Animalia,Notonectidae
497,516,Scud,Animalia,Haustoriidae
498,517,Water Flea,Animalia,Bosminidae
499,518,Calanoid Copepod,Animalia,Cyclopidae
500,519,Fairy Shrimp,Animalia,Streptocephalidae
501,520,Clam Shrimp,Animalia,Lynceidae
502,521,Crayfish,Animalia,Cambaridae
503,522,Common Rangia Or Clam,Animalia,Mactridae
504,523,Frog,Animalia,Ranidae
505,524,Aholehole,Animalia,Kuhliidae
506,525,Nehu,Animalia,Engraulidae
507,526,Diatom,Chromista,Leptocylindraceae
508,527,Prawn,Animalia,Penaeidae
509,528,Snake-Head Catfish,Animalia,Channidae
510,529,Green Flagellate,Plantae,Platymonadaceae
511,530,Mayfly,Animalia,Ephemeridae
512,531,Turbellarian. Flatworm,Animalia,Planariidae
513,532,Tubificid Worm,Animalia,Tubificidae
514,533,Oligochaete,Animalia,Lumbriculidae
515,534,Fresh-Water Leech Family,Animalia,Erpobdellidae
516,535,Crayfish,Animalia,Cambaridae
517,536,Stonefly,Animalia,Perlidae
518,537,Dragonfly,Animalia,Gomphidae
519,538,Water Boatman Family,Animalia,Corixidae
520,539,Mayfly,Animalia,Heptageniidae
521,540,Caddisfly,Animalia,Hydropsychidae
522,541,Caddisfly,Animalia,Helicopsychidae
523,542,Blackfly,Animalia,Simuliidae
524,543,Snipefly,Animalia,Athericidae
525,544,Dobsonfly,Animalia,Corydalidae
526,545,River Snail,Animalia,Pleuroceridae
527,546,Blue-Green Algae,Monera,Nostocaceae
528,547,Green Algae,Plantae,Desmidiaceae
529,548,Diatom,Chromista,Naviculaceae
530,549,Shrimp Or Prawn,Animalia,Hippolytidae
531,551,Dinoflagellate,Plantae,Heterochloridaceae
532,552,Blue-Green Algae,Monera,Nostocaceae
533,553,Green Algae,Plantae,Volvocaceae
534,554,Green Algae,Plantae,Hydrodictyaceae
535,555,Green Algae,Plantae,Oocystaceae
536,556,Green Algae,Plantae,Scenedesmaceae
537,557,Green Algae,Plantae,Oocystaceae
538,558,Water Flea,Animalia,Polyphemidae
539,559,Water Flea,Animalia,Cercopagididae
540,560,Calanoid Copepod,Animalia,Diaptomidae
541,561,Cyclopoid Copepod,Animalia,Cyclopidae
542,562,Calanoid Copepod,Animalia,Diaptomidae
543,563,Ostracod,Animalia,Cyprididae
544,564,Bladder Snail,Animalia,Physidae
545,565,Wandering Pond Snail,Animalia,Lymnaeidae
546,566,River Snail,Animalia,Viviparidae
547,567,Snail,Animalia,Bithyniidae
548,569,Ramshorn Snail,Animalia,Planorbidae
549,570,Fresh-Water Mussel,Animalia,Unionidae
550,571,Spotted Seatrout,Animalia,Sciaenidae
551,572,Catla,Animalia,Cyprinidae
552,573,Calanoid Copepod,Animalia,Calanidae
553,574,Common Eel,Animalia,Anguillidae
554,575,Pacific Oyster,Animalia,Ostreidae
555,576,Floater,Animalia,Unionidae
556,577,Snail,Animalia,Planorbidae
557,578,Blueback Herring,Animalia,Clupeidae
558,579,Smooth-Breasted Snakefish,Animalia,Channidae
559,580,Sea Bass,Animalia,Serranidae
560,581,Fish,Animalia,Cyprinidae
561,582,European Lobster,Animalia,Nephropidae
562,583,Bluespotted Sunfish,Animalia,Centrarchidae
563,584,Green Algae,Plantae,Oocystaceae
564,585,Shore Crab,Animalia,Grapsidae
565,586,Green Mussel,Animalia,Mytilidae
566,589,Golden Trout,Animalia,Salmonidae
567,590,Bivalve,Animalia,Semelidae
568,591,Diatom,Chromista,Lithodesmiaceae
569,592,Mayfly,Animalia,Ephemeridae
570,593,Mayfly,Animalia,Ephemeridae
571,594,Flat Topshell,Animalia,Trochidae
